name,result_text,result_half,confident_text,confident_half,matching_result
question_question_3_183_295.jpg,2,2l,1.0,0.968,2
question_question_4_295_407.jpg,2,out,1.0,0.286,JSON
question_question_5_407_520.jpg,2,out,1.0,0.605,JSON
question_question_6_520_633.jpg,out,2d,0.561,0.999,JSON
question_question_7_633_746.jpg,out,2,0.682,1.0,JSON
question_question_8_746_860.jpg,3,3,1.0,1.0,3
question_question_9_860_975.jpg,4,4,1.0,1.0,4
question_question_10_975_1090.jpg,5,5,1.0,1.0,5
question_question_11_1090_1341.jpg,out,out,0.158,0.26,JSON
question_question_12_1341_1447.jpg,7,out,0.998,0.497,JSON
question_question_13_1447_1551.jpg,out,out,0.795,0.801,JSON
question_question_14_1551_1656.jpg,8l,8l,0.986,0.932,8l
question_question_15_1656_1761.jpg,out,out,0.361,0.361,JSON
question_question_16_1761_1868.jpg,out,out,0.524,0.149,JSON
question_question_17_1868_1975.jpg,10,10,0.963,0.989,10
question_question_18_1975_2080.jpg,1,1,1.0,1.0,1
question_question_19_2080_2184.jpg,12,1,0.96,1.0,12
question_question_20_2184_2287.jpg,13,out,0.876,0.689,JSON
question_question_21_2287_2388.jpg,14,1,0.997,1.0,14
question_question_2_70_183.jpg,1,,1.0,0.0,JSON
